name,position
Abdalla_Mahmoud_El_Said_Bekhit_Center_Attacking_Midfield.csv,Side Wing
Adem_Ljajic_Center_Attacking_Midfield.csv,Side Wing
Aibanbha_Kupar_Dohling_Side_Center_Back.csv,Side Center Midfield
Alexandra_Riley_Side_Back.csv,Side Center Back
Ali_Krieger_Side_Back.csv,Side Center Back
Andrea_Costa_Side_Center_Back.csv,Center Defensive Midfield
Andres_Eduardo_Fernandez_Moreno_Goalkeeper.csv,Goalkeeper
Antoine_Griezmann_Center_Attacking_Midfield.csv,Center Defensive Midfield
Ashley_Westwood_Center_Defensive_Midfield.csv,Center Defensive Midfield
Batista_Mendy_Center_Defensive_Midfield.csv,Side Defensive Midfield
Benedikt_Howedes_Side_Center_Back.csv,Side Back
Bruno_Miguel_Borges_Fernandes_Side_Wing.csv,Side Defensive Midfield
Bryan_Dabo_Side_Back.csv,Side Center Back
Bryan_Oviedo_Side_Back.csv,Side Center Back
Caiuby_Francisco_da_Silva_Side_Wing.csv,Center Defensive Midfield
Carlos_Alberto_Vela_Garrido_Side_Wing.csv,Center Attacking Midfield
Carlos_Henrique_Casimiro_Center_Defensive_Midfield.csv,Side Defensive Midfield
Chiamaka_Cynthia_Nnadozie_Goalkeeper.csv,Goalkeeper
Christian_Dannemann_Eriksen_Side_Wing.csv,Center Attacking Midfield
Christian_Gentner_Center_Attacking_Midfield.csv,Side Wing
Clement_Chantome_Center_Defensive_Midfield.csv,Side Defensive Midfield
Dani_Castellano_Betancor_Side_Back.csv,Side Center Back
Daniele_Padelli_Goalkeeper.csv,Goalkeeper
David_Josue_Jimenez_Silva_Side_Wing.csv,Center Defensive Midfield
Dheeraj_Singh_Moirangthem_Goalkeeper.csv,Goalkeeper
Diego_Antonio_Reyes_Rosales_Side_Center_Back.csv,Side Back
Eden_Hazard_Side_Wing.csv,Side Defensive Midfield
Enzo_Maresca_Center_Defensive_Midfield.csv,Side Center Back
Eve_Perisset_Side_Back.csv,Side Center Back
Fabian_Ariel_Orellana_Valenzuela_Center_Attacking_Midfield.csv,Center Defensive Midfield
Fabian_Ariel_Orellana_Valenzuela_Side_Wing.csv,Center Attacking Midfield
Federico_Marchetti_Goalkeeper.csv,Goalkeeper
Felipe_Melo_de_Carvalho_Center_Defensive_Midfield.csv,Side Defensive Midfield
Gary_Alexis_Medel_Soto_Side_Center_Back.csv,Center Defensive Midfield
Georgia_Brougham_Side_Center_Back.csv,Side Defensive Midfield
Gelson_da_Conceicao_Tavares_Fernandes_Center_Defensive_Midfield.csv,Center Defensive Midfield
Ignacio_Monreal_Eraso_Side_Back.csv,Side Center Back
Ivan_Cuellar_Sacristan_Goalkeeper.csv,Goalkeeper
Jackie_Groenen_Center_Defensive_Midfield.csv,Side Defensive Midfield
Jacqueline_Burns_Goalkeeper.csv,Goalkeeper
Jade_Moore_Center_Defensive_Midfield.csv,Side Defensive Midfield
James_David_Rodriguez_Rubio_Side_Wing.csv,Center Attacking Midfield
Joel_Robles_Blazquez_Goalkeeper.csv,Side Center Back
Jonathan_Bamba_Side_Wing.csv,Side Back
Jordan_Nobbs_Side_Wing.csv,Goalkeeper
Joel_Andre_Job_Matip_Side_Center_Back.csv,Center Defensive Midfield
Julian_Draxler_Side_Wing.csv,Center Attacking Midfield
Jeremy_Mathieu_Side_Back.csv,Center Defensive Midfield
Karen_Bardsley_Goalkeeper.csv,Goalkeeper
Kevin_Trapp_Goalkeeper.csv,Goalkeeper
Koen_Casteels_Goalkeeper.csv,Goalkeeper
Konsham_Chinglensana_Singh_Side_Center_Back.csv,Center Defensive Midfield
Kossi_Agassa_Goalkeeper.csv,Goalkeeper
Leon_Aderemi_Balogun_Side_Center_Back.csv,Side Back
Lucas_Hernandez_Pi_Side_Back.csv,Side Center Back
Lucas_Torreira_Di_Pascua_Center_Defensive_Midfield.csv,Side Defensive Midfield
Marcelo_Brozovic_Center_Attacking_Midfield.csv,Center Defensive Midfield
Marco_Asensio_Willemsen_Side_Wing.csv,Side Center Midfield
Maren_Nvdal_Mjelde_Center_Defensive_Midfield.csv,Side Center Midfield
Maren_Nvdal_Mjelde_Side_Back.csv,Side Center Back
Maren_Nvdal_Mjelde_Side_Center_Back.csv,Side Back
Marion_Torrent_Side_Back.csv,Side Center Back
Massimo_Gobbi_Side_Back.csv,Side Center Back
Maximiliano_Nicol_Moralez_Side_Wing.csv,Center Attacking Midfield
Mayumi_Pacheco_Side_Back.csv,Side Center Back
Megan_Campbell_Side_Back.csv,Side Center Back
Merle_Frohms_Goalkeeper.csv,Goalkeeper
Neymar_da_Silva_Santos_Junior_Side_Wing.csv,Center Attacking Midfield
Nicolas_Alejandro_Tagliafico_Side_Center_Back.csv,Side Back
Noelle_Maritz_Side_Back.csv,Side Center Back
Paul_Breitner_Side_Back.csv,Side Back
Pedro_Eliezer_Rodriguez_Ledesma_Side_Wing.csv,Side Wing
Petr_Cech_Goalkeeper.csv,Side Back
Phil_Jagielka_Side_Center_Back.csv,Goalkeeper
Pierluigi_Gollini_Goalkeeper.csv,Side Defensive Midfield
Rachael_Laws_Goalkeeper.csv,Goalkeeper
Ramona_Bachmann_Side_Wing.csv,Goalkeeper
Rasheedat_Busayo_Ajibade_Side_Wing.csv,Side Defensive Midfield
Rebecca_Elizabeth_Sauerbrunn_Side_Center_Back.csv,Center Attacking Midfield
Reece_James_Side_Back.csv,Side Back
Rocio_Galvez_Luna_Side_Center_Back.csv,Side Center Back
Ron-Robert_Zieler_Goalkeeper.csv,Side Defensive Midfield
Ruben_Pena_Jimenez_Side_Back.csv,Goalkeeper
Sarah_Bouhaddi_Goalkeeper.csv,Side Center Back
Sergio_Ramos_Garcia_Side_Center_Back.csv,Goalkeeper
Sherida_Spitse_Center_Defensive_Midfield.csv,Center Defensive Midfield
Thiago_Motta_Center_Defensive_Midfield.csv,Center Defensive Midfield
Thomas_Lemar_Side_Wing.csv,Side Center Back
Thomas_Muller_Side_Wing.csv,Center Defensive Midfield
Timothy_Castagne_Side_Back.csv,Side Back
Tin_Jedvaj_Side_Center_Back.csv,Side Center Back
Tomoaki_Makino_Side_Center_Back.csv,Side Defensive Midfield
Unai_Nunez_Gestoso_Side_Center_Back.csv,Side Back
Vasco_Regini_Side_Back.csv,Side Back
Vyan_Sampson_Side_Center_Back.csv,Side Center Back
Victor_Valdes_Arribas_Goalkeeper.csv,Goalkeeper
Wayne_Hennessey_Goalkeeper.csv,Side Back
Willian_Borges_da_Silva_Side_Wing.csv,Goalkeeper
Xavier_Hernandez_Creus_Center_Defensive_Midfield.csv,Side Center Midfield
Oscar_Esau_Duarte_Gaitan_Side_Center_Back.csv,Side Defensive Midfield
