,period,timestamp,minute,second,type_name,player_name,team_name,play_pattern_name,pass_length,pass_height_name,x,y,end_x,end_y
914,1,00:18:16.903000,18,16,Pass,Batista Mendy,Angers,Regular Play,24.63331,Ground Pass,53.4,42.9,63.2,65.5
1177,1,00:23:13.786000,23,13,Pass,Batista Mendy,Angers,Regular Play,23.165924,Ground Pass,67.6,59.7,64.1,36.8
1195,1,00:23:24.598000,23,24,Pass,Batista Mendy,Angers,Regular Play,46.905117,High Pass,72.7,43.8,96.7,3.5
1213,1,00:23:40.714000,23,40,Pass,Batista Mendy,Angers,Regular Play,34.237408,High Pass,65.3,40.1,66.9,74.3
1219,1,00:23:49.620000,23,49,Pass,Batista Mendy,Angers,Regular Play,10.323759,Ground Pass,80.4,67.1,79.7,77.4
1241,1,00:24:10.113000,24,10,Pass,Batista Mendy,Angers,Regular Play,16.33432,Ground Pass,86.9,55.9,98.4,44.3
1277,1,00:24:37.362000,24,37,Pass,Batista Mendy,Angers,Regular Play,12.687395,Ground Pass,60.4,64.3,64.8,76.2
1643,1,00:33:22.038000,33,22,Pass,Batista Mendy,Angers,Regular Play,25.953228,Ground Pass,42.0,26.3,60.6,8.2
1667,1,00:33:49.383000,33,49,Pass,Batista Mendy,Angers,Regular Play,14.785128,Ground Pass,82.1,59.2,89.5,46.4
1774,1,00:36:04.497000,36,4,Pass,Batista Mendy,Angers,Regular Play,34.272,Ground Pass,73.4,56.9,83.0,24.0
1791,1,00:36:18.420000,36,18,Pass,Batista Mendy,Angers,Regular Play,23.269077,Ground Pass,87.2,39.4,80.9,61.8
2176,1,00:44:37.437000,44,37,Pass,Batista Mendy,Angers,Regular Play,22.274874,Ground Pass,80.7,2.1,60.6,11.7
2266,2,00:00:59.211000,45,59,Pass,Batista Mendy,Angers,Regular Play,31.207851,Ground Pass,74.5,30.9,73.8,62.1
2649,2,00:07:42.664000,52,42,Pass,Batista Mendy,Angers,Regular Play,23.243279,Ground Pass,84.3,30.5,91.8,52.5
2661,2,00:07:52.988000,52,52,Pass,Batista Mendy,Angers,Regular Play,20.05293,Ground Pass,86.8,58.8,99.4,74.4
2679,2,00:08:07.393000,53,7,Pass,Batista Mendy,Angers,Regular Play,17.336666,Ground Pass,78.4,63.2,95.0,68.2
3010,2,00:15:35.170000,60,35,Pass,Batista Mendy,Angers,Regular Play,10.100495,Ground Pass,79.2,13.1,79.3,23.2
3269,2,00:20:21.981000,65,21,Pass,Batista Mendy,Angers,Regular Play,32.289318,Ground Pass,45.5,59.8,43.1,27.6
3287,2,00:20:40.901000,65,40,Pass,Batista Mendy,Angers,Regular Play,48.827145,High Pass,78.6,28.9,102.1,71.7
3362,2,00:23:34.053000,68,34,Pass,Batista Mendy,Angers,Regular Play,19.202343,Ground Pass,63.1,41.4,72.4,58.2
3437,2,00:25:18.444000,70,18,Pass,Batista Mendy,Angers,Regular Play,11.374093,Ground Pass,51.2,73.7,41.3,68.1
3755,2,00:32:16.263000,77,16,Pass,Batista Mendy,Angers,Regular Play,11.407016,High Pass,50.9,62.3,62.3,61.9
3767,2,00:32:29.468000,77,29,Pass,Batista Mendy,Angers,Regular Play,24.44013,Low Pass,73.4,36.3,93.0,50.9
4189,2,00:38:43.930000,83,43,Pass,Batista Mendy,Angers,Regular Play,34.314137,Ground Pass,26.2,58.3,57.3,72.8
4298,2,00:40:18.310000,85,18,Pass,Batista Mendy,Angers,Regular Play,13.978555,Ground Pass,68.3,33.1,72.9,19.9
4315,2,00:40:31.279000,85,31,Pass,Batista Mendy,Angers,Regular Play,31.637003,Ground Pass,79.8,28.5,90.7,58.2
4353,2,00:41:10.127000,86,10,Pass,Batista Mendy,Angers,Regular Play,35.487743,Ground Pass,77.2,35.6,91.9,3.3
4363,2,00:41:23.536000,86,23,Pass,Batista Mendy,Angers,Regular Play,22.996086,Ground Pass,87.1,23.0,85.0,45.9
4407,2,00:43:50.608000,88,50,Pass,Batista Mendy,Angers,Regular Play,10.358571,Ground Pass,78.8,7.6,77.7,17.9
4425,2,00:44:05.671000,89,5,Pass,Batista Mendy,Angers,Regular Play,13.871553,Ground Pass,90.3,18.8,85.2,31.7
4575,2,00:46:48.048000,91,48,Pass,Batista Mendy,Angers,Regular Play,8.421995,Ground Pass,52.3,56.3,48.1,63.6
4584,2,00:46:55.746000,91,55,Pass,Batista Mendy,Angers,Regular Play,14.8296995,Ground Pass,60.3,61.2,74.9,58.6
