,period,timestamp,minute,second,type_name,player_name,team_name,play_pattern_name,pass_length,pass_height_name,x,y,end_x,end_y
101,1,00:02:07.401000,2,7,Pass,David Josué Jiménez Silva,Manchester City,Regular Play,1.2,Ground Pass,88.5,73.4,89.7,73.4
153,1,00:03:20.450000,3,20,Pass,David Josué Jiménez Silva,Manchester City,Regular Play,58.3851,High Pass,19.8,37.2,68.7,69.1
208,1,00:05:29.654000,5,29,Pass,David Josué Jiménez Silva,Manchester City,Regular Play,19.011839,Ground Pass,34.8,49.5,43.7,32.7
224,1,00:05:49.747000,5,49,Pass,David Josué Jiménez Silva,Manchester City,Regular Play,6.545991,Ground Pass,95.0,20.6,98.7,15.2
351,1,00:09:25.447000,9,25,Pass,David Josué Jiménez Silva,Manchester City,Regular Play,24.184706,Ground Pass,75.9,55.3,93.2,72.2
599,1,00:15:21.101000,15,21,Pass,David Josué Jiménez Silva,Manchester City,Regular Play,23.311155,Ground Pass,80.0,20.6,95.4,3.1
610,1,00:15:32.445000,15,32,Pass,David Josué Jiménez Silva,Manchester City,Regular Play,6.576473,Ground Pass,101.4,27.4,107.2,24.3
632,1,00:16:11.698000,16,11,Pass,David Josué Jiménez Silva,Manchester City,Regular Play,9.1181135,Ground Pass,43.9,56.3,35.4,53.0
761,1,00:19:33.801000,19,33,Pass,David Josué Jiménez Silva,Manchester City,Regular Play,25.864454,Ground Pass,76.7,52.2,92.6,72.6
833,1,00:21:47.700000,21,47,Pass,David Josué Jiménez Silva,Manchester City,Regular Play,19.769926,Ground Pass,56.6,55.1,62.4,74.0
839,1,00:21:53.397000,21,53,Pass,David Josué Jiménez Silva,Manchester City,Regular Play,19.834566,Ground Pass,66.5,67.4,79.0,52.0
846,1,00:21:57.752000,21,57,Pass,David Josué Jiménez Silva,Manchester City,Regular Play,30.49213,Ground Pass,89.5,57.4,114.4,75.0
904,1,00:23:14.388000,23,14,Pass,David Josué Jiménez Silva,Manchester City,Regular Play,22.846443,Ground Pass,30.9,68.5,38.9,47.1
1025,1,00:26:53.781000,26,53,Pass,David Josué Jiménez Silva,Manchester City,Regular Play,20.081085,Ground Pass,99.3,19.1,118.3,12.6
1183,1,00:31:45.630000,31,45,Pass,David Josué Jiménez Silva,Manchester City,Regular Play,13.072873,Ground Pass,63.4,48.9,66.5,36.2
1190,1,00:31:50.952000,31,50,Pass,David Josué Jiménez Silva,Manchester City,Regular Play,30.216717,Ground Pass,88.3,39.7,100.6,12.1
1236,1,00:33:37.566000,33,37,Pass,David Josué Jiménez Silva,Manchester City,Regular Play,8.188406,Ground Pass,73.5,57.4,74.7,49.3
1267,1,00:34:26.206000,34,26,Pass,David Josué Jiménez Silva,Manchester City,Regular Play,23.597458,Ground Pass,74.7,11.1,96.9,3.1
1370,1,00:38:12.645000,38,12,Pass,David Josué Jiménez Silva,Manchester City,Regular Play,2.505993,Ground Pass,57.2,30.8,58.4,28.6
1458,1,00:40:11.493000,40,11,Pass,David Josué Jiménez Silva,Manchester City,Regular Play,14.800338,Ground Pass,104.3,57.2,113.1,69.1
1595,1,00:43:55.831000,43,55,Pass,David Josué Jiménez Silva,Manchester City,Regular Play,32.5203,Ground Pass,80.2,29.2,99.6,3.1
1625,1,00:45:18.845000,45,18,Pass,David Josué Jiménez Silva,Manchester City,Regular Play,16.670933,Ground Pass,80.0,12.1,94.4,3.7
1676,1,00:47:02.510000,47,2,Pass,David Josué Jiménez Silva,Manchester City,Regular Play,20.670027,Ground Pass,50.4,5.2,71.0,3.5
1746,2,00:01:12.577000,46,12,Pass,David Josué Jiménez Silva,Manchester City,Regular Play,17.759787,Ground Pass,81.9,16.9,94.9,4.8
1819,2,00:02:56.426000,47,56,Pass,David Josué Jiménez Silva,Manchester City,Regular Play,21.272753,Low Pass,104.9,25.1,93.1,42.8
1854,2,00:03:37.600000,48,37,Pass,David Josué Jiménez Silva,Manchester City,Regular Play,25.592577,Ground Pass,86.1,28.1,92.8,52.8
1866,2,00:04:17.381000,49,17,Pass,David Josué Jiménez Silva,Manchester City,Regular Play,22.487553,Ground Pass,35.0,44.7,27.5,23.5
2004,2,00:12:23.272000,57,23,Pass,David Josué Jiménez Silva,Manchester City,Regular Play,10.998636,Ground Pass,94.5,20.7,87.4,12.3
2018,2,00:12:39.111000,57,39,Pass,David Josué Jiménez Silva,Manchester City,Regular Play,14.903691,Ground Pass,90.3,59.8,80.7,48.4
2119,2,00:15:48.777000,60,48,Pass,David Josué Jiménez Silva,Manchester City,Regular Play,19.116747,Ground Pass,98.6,61.3,117.7,60.5
2184,2,00:18:09.976000,63,9,Pass,David Josué Jiménez Silva,Manchester City,Regular Play,14.7,Ground Pass,57.6,17.2,57.6,31.9
2202,2,00:18:25.486000,63,25,Pass,David Josué Jiménez Silva,Manchester City,Regular Play,23.269938,Ground Pass,73.4,53.5,91.6,68.0
2279,2,00:21:17.686000,66,17,Pass,David Josué Jiménez Silva,Manchester City,Regular Play,13.509256,Ground Pass,87.9,18.1,91.2,5.0
